Document Date,Document Number,Document Type,Item Number,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Document Status
10/01/2024,ASM015007,Bill of Materials,AC-B3SLJ,BAG,600,8.78,5267.71,1,Posted
09/30/2024,ASM015008,Bill of Materials,AC-B16BK,BAG,248,28.956,7181.09,2,Posted
10/03/2024,ASM015009,Bill of Materials,AC-B4BK,BAG,600,6.998,4198.71,1,Posted
10/02/2024,ASM015015,Bill of Materials,A-61012,BOX,3600,12.388,44596.68,1,Posted
10/07/2024,ASM015016,Bill of Materials,AC-B4BK,BAG,600,6.999,4199.1,1,Posted
10/02/2024,ASM015017,Bill of Materials,AC-B9SL,BAG,9600,23.386,224504.92,U,Posted
10/03/2024,ASM015018,Bill of Materials,AC-B8BK,BAG,160,15.885,2541.6,2,Posted
10/02/2024,ASM015019,Bill of Materials,A-61280,BAG,1443,13.373,19296.71,U,Posted
10/16/2024,ASM015022,Bill of Materials,F-04220,CASE,4923,7.402,36439.4,2,Posted
10/16/2024,ASM015022,Bill of Materials,F-04211,EACH,-118152,0.279,32993.3,2,Posted
10/09/2024,ASM015025,Bill of Materials,AC-B4BK,BAG,600,6.754,4052.1,1,Posted
10/08/2024,ASM015037,Bill of Materials,AC-B8BK,BAG,160,15.885,2541.6,2,Posted
10/16/2024,ASM015038,Bill of Materials,AC-B3SLJ,BAG,240,8.78,2107.09,1,Posted
10/08/2024,ASM015045,Bill of Materials,A-61260N,BOX,1440,11.14,16041.6,IF,Posted
10/10/2024,ASM015046,Bill of Materials,AC-B4BK,BAG,600,6.754,4052.1,1,Posted
10/10/2024,ASM015047,Bill of Materials,AC-B16BK,BAG,2000,22.895,45790.95,3,Posted
10/12/2024,ASM015049,Bill of Materials,AC-B4BK,BAG,1200,6.754,8104.2,1,Posted
10/18/2024,ASM015050,Bill of Materials,AC-B3SLJ,BAG,240,8.78,2107.08,1,Posted
10/10/2024,ASM015051,Bill of Materials,AC-B8BK,BAG,1000,13.009,13008.93,3,Posted
10/10/2024,ASM015052,Bill of Materials,AC-B4BK,BAG,2000,6.999,13997,3,Posted
10/14/2024,ASM015054,Bill of Materials,AC-B4BK,BAG,600,6.754,4052.1,1,Posted
10/14/2024,ASM015056,Bill of Materials,A-61243,BOX,3840,8.202,31493.83,1,Posted
10/23/2024,ASM015057,Bill of Materials,A-61220,BOX,3990,3.899,15557.43,3,Posted
10/15/2024,ASM015066,Bill of Materials,AC-B9SL,BAG,18456,24.787,457469.08,U,Posted
10/15/2024,ASM015067,Bill of Materials,AC-B9SL,BAG,19545,24.634,481463.64,U,Posted
10/15/2024,ASM015075,Bill of Materials,AC-B3SLJ,BAG,240,11.52,2764.69,1,Posted
10/21/2024,ASM015076,Bill of Materials,AC-B4BK,BAG,1500,6.755,10132.69,1,Posted
10/22/2024,ASM015077,Bill of Materials,A-61220,BOX,2700,3.538,9551.52,3,Posted
10/24/2024,ASM015078,Bill of Materials,AC-B9SLE,BAG,2400,24.017,57640.43,1,Posted
10/23/2024,ASM015080,Bill of Materials,A-61260N,BOX,1721,11.301,19449.3,IF,Posted
10/23/2024,ASM015081,Bill of Materials,A-61260N,BOX,1800,11.14,20052,IF,Posted
10/24/2024,ASM015083,Bill of Materials,AC-B6SLJ,BAG,240,19.254,4621.02,1,Posted
10/22/2024,ASM015084,Bill of Materials,AC-B3SLJ,BAG,240,11.52,2764.68,1,Posted
10/28/2024,ASM015089,Bill of Materials,AC-B6SLJ,BAG,240,19.254,4621.02,1,Posted
10/29/2024,ASM015090,Bill of Materials,AC-B6SLJ,BAG,240,19.254,4621.02,1,Posted
10/28/2024,ASM015092,Bill of Materials,A-61012,BOX,1800,12.323,22181.4,1,Posted
10/29/2024,ASM015097,Bill of Materials,AC-B9SL,BAG,9601,24.246,232783.58,U,Posted
10/30/2024,ASM015098,Bill of Materials,AC-B6SLJ,BAG,240,19.258,4621.85,1,Posted
10/31/2024,ASM015104,Bill of Materials,AC-B8BK,BAG,240,15.885,3812.4,2,Posted
11/05/2024,ASM015106,Bill of Materials,AC-B4BK,BAG,1520,6.88,10458.08,3,Posted
11/04/2024,ASM015107,Bill of Materials,AC-B8BK,BAG,2000,12.701,25402,3,Posted
11/06/2024,ASM015108,Bill of Materials,AC-B16BK,BAG,3260,25.602,83461,3,Posted
11/04/2024,ASM015109,Bill of Materials,A-61260N,BOX,5610,11.14,62495.4,IF,Posted
11/04/2024,ASM015110,Bill of Materials,A-61260N,BOX,735,11.14,8187.9,IF,Posted
11/04/2024,ASM015111,Bill of Materials,A-61243,BOX,4097,8.203,33607.73,IF,Posted
11/06/2024,ASM015112,Bill of Materials,AC-B8BK,BAG,240,15.885,3812.4,2,Posted
11/07/2024,ASM015113,Bill of Materials,A-61243,BOX,920,8.135,7484.37,IF,Posted
11/06/2024,ASM015116,Bill of Materials,A-61243,BOX,1220,8.203,10007.66,1,Posted
11/12/2024,ASM015117,Bill of Materials,F-04220,CASE,3529,7.733,27288.85,2,Posted
11/12/2024,ASM015117,Bill of Materials,F-04211,EACH,-84696,0.293,24815.93,2,Posted
11/07/2024,ASM015120,Bill of Materials,A-61012,BOX,1440,12.452,17931.13,2,Posted
11/07/2024,ASM015121,Bill of Materials,A-61260N,BOX,1800,11.144,20059.79,IF,Posted
11/08/2024,ASM015122,Bill of Materials,A-61260N,BOX,7125,11.176,79625.95,IF,Posted
11/15/2024,ASM015124,Bill of Materials,F-04220,CASE,638,7.348,4688.03,1,Posted
11/15/2024,ASM015124,Bill of Materials,F-04211,EACH,-15312,0.277,4241.43,1,Posted
11/08/2024,ASM015126,Bill of Materials,AC-B9SL,BAG,9000,24.491,220416.12,U,Posted
11/11/2024,ASM015128,Bill of Materials,AC-B16BK,BAG,351,28.956,10163.57,2,Posted
11/11/2024,ASM015129,Bill of Materials,A-61012,BOX,720,12.476,8982.72,2,Posted
11/22/2024,ASM015149,Bill of Materials,A-61280,BAG,2304,11.957,27549.67,1,Posted
12/10/2024,ASM015155,Bill of Materials,AC-B4BK,BAG,3000,6.854,20560.5,3,Posted
12/05/2024,ASM015157,Bill of Materials,AC-B16BK,BAG,3090,22.01,68010.53,3,Posted
11/26/2024,ASM015158,Bill of Materials,AC-B9SLE,BAG,3200,25.133,80425.6,1,Posted
11/25/2024,ASM015168,Bill of Materials,AC-B9SL,BAG,11200,24.945,279386.27,U,Posted
11/26/2024,ASM015181,Bill of Materials,A-61280,BAG,2883,12.102,34889.22,U,Posted
11/29/2024,ASM015182,Bill of Materials,AC-B9SLE,BAG,4800,25.662,123178.02,1,Posted
12/16/2024,ASM015184,Bill of Materials,AC-B3SLJ,BAG,240,10.594,2542.65,1,Posted
12/20/2024,ASM015185,Bill of Materials,AC-B3SLJ,BAG,240,11.3,2712.04,1,Posted
11/29/2024,ASM015190,Bill of Materials,AC-B6SLJ,BAG,84,19.272,1618.87,1,Posted
12/05/2024,ASM015191,Bill of Materials,AC-B6SLJ,BAG,120,19.272,2312.67,1,Posted
12/04/2024,ASM015195,Bill of Materials,AC-B6SLJ,BAG,100,19.272,1927.23,1,Posted
12/10/2024,ASM015197,Bill of Materials,AC-B6SLJ,BAG,100,19.272,1927.22,1,Posted
12/10/2024,ASM015198,Bill of Materials,AC-B6SLJ,BAG,100,19.272,1927.23,1,Posted
12/10/2024,ASM015199,Bill of Materials,AC-B6SLJ,BAG,100,19.272,1927.22,1,Posted
12/12/2024,ASM015200,Bill of Materials,AC-B6SLJ,BAG,100,17.729,1772.85,1,Posted
12/11/2024,ASM015205,Bill of Materials,AC-B8BK,BAG,400,15.885,6354,2,Posted
12/12/2024,ASM015209,Bill of Materials,AC-B8BK,BAG,2000,12.559,25117.96,3,Posted
12/12/2024,ASM015210,Bill of Materials,A-61280,BAG,2883,12.101,34887.05,U,Posted
12/16/2024,ASM015216,Bill of Materials,AC-B8BK,BAG,200,15.885,3177,2,Posted
12/16/2024,ASM015220,Bill of Materials,AC-B9SL,BAG,15801,26.145,413117.88,U,Posted
12/17/2024,ASM015221,Bill of Materials,A-61012,BOX,720,12.396,8925.12,2,Posted
12/16/2024,ASM015223,Bill of Materials,AC-B6SLJ,BAG,120,18.452,2214.21,1,Posted
12/26/2024,ASM015225,Bill of Materials,AC-B3SLJ,BAG,240,12.96,3110.3,1,Posted
12/31/2024,ASM015226,Bill of Materials,AC-B3SLJ,BAG,240,12.96,3110.3,1,Posted
01/07/2025,ASM015229,Bill of Materials,A-61260N,BOX,3600,10.727,38617.14,IF,Posted
12/23/2024,ASM015230,Bill of Materials,A-61012,BOX,1080,12.586,13592.91,2,Posted
01/06/2025,ASM015237,Bill of Materials,AC-B4BK,BAG,2300,6.694,15395.05,3,Posted
01/16/2025,ASM015238,Bill of Materials,AC-B16BK,BAG,2500,21.827,54566.55,3,Posted
12/24/2024,ASM015240,Bill of Materials,A-61280,BAG,2016,12.101,24395.83,U,Posted
12/27/2024,ASM015241,Bill of Materials,A-61012,BOX,725,12.396,8987.1,2,Posted
12/27/2024,ASM015242,Bill of Materials,AC-B8BK,BAG,300,15.885,4765.5,2,Posted
12/27/2024,ASM015243,Bill of Materials,AC-B9SL,BAG,18000,25.082,451470.48,U,Posted
01/13/2025,ASM015245,Bill of Materials,A-61220,BOX,9600,3.622,34768.5,1,Posted
01/02/2025,ASM015247,Bill of Materials,A-61012,BOX,1800,12.413,22344,1,Posted
01/07/2025,ASM015248,Bill of Materials,AC-B3SLJ,BAG,240,12.96,3110.31,1,Posted
12/31/2024,ASM015249,Bill of Materials,A-61280,BAG,2016,12.102,24398.09,U,Posted
12/31/2024,ASM015250,Bill of Materials,AC-B9SLE,BAG,3200,24.386,78035.2,1,Posted
01/07/2025,ASM015260,Bill of Materials,A-61280,BAG,1731,12.102,20948.18,U,Posted
01/14/2025,ASM015264,Bill of Materials,AC-B6SLJ,BAG,240,22.229,5335.01,1,Posted
01/10/2025,ASM015270,Bill of Materials,AC-B9SL,BAG,9859,24.374,240304.69,U,Posted
01/15/2025,ASM015271,Bill of Materials,AC-B4BK,BAG,1200,7.134,8560.2,1,Posted
01/13/2025,ASM015275,Bill of Materials,A-61260N,BOX,1800,10.73,19314,IF,Posted
01/13/2025,ASM015276,Bill of Materials,A-61260N,BOX,2520,10.73,27039.6,IF,Posted
01/13/2025,ASM015278,Bill of Materials,A-61243,BOX,3360,7.877,26468.23,IF,Posted
01/15/2025,ASM015279,Bill of Materials,A-61260N,BOX,2160,10.73,23176.8,IF,Posted
01/15/2025,ASM015281,Bill of Materials,AC-B3SLJ,BAG,200,12.442,2488.32,3,Posted
01/15/2025,ASM015284,Bill of Materials,AC-B8BK,BAG,320,15.885,5083.2,2,Posted
02/11/2025,ASM015285,Bill of Materials,F-04220,CASE,5369,7.605,40833.23,2,Posted
02/11/2025,ASM015285,Bill of Materials,F-04211,EACH,-128856,0.288,37074.93,2,Posted
01/31/2025,ASM015286,Bill of Materials,F-04220,CASE,1298,7.444,9662.31,1,Posted
01/31/2025,ASM015286,Bill of Materials,F-04211,EACH,-31152,0.281,8753.71,1,Posted
01/17/2025,ASM015288,Bill of Materials,AC-B6SLJ,BAG,300,22.04,6612.05,3,Posted
01/16/2025,ASM015289,Bill of Materials,AC-B16BK,BAG,480,23.548,11303.04,1,Posted
01/20/2025,ASM015292,Bill of Materials,AC-B16BK,BAG,480,23.455,11258.46,1,Posted
01/17/2025,ASM015293,Bill of Materials,AC-B3SLJ,BAG,500,12.918,6459.12,3,Posted
01/08/2025,ASM015297,Bill of Materials,AC-B9SLE,BAG,4800,24.56,117888,1,Posted
01/17/2025,ASM015298,Bill of Materials,A-61243,BOX,2880,7.853,22616.64,IF,Posted
01/17/2025,ASM015299,Bill of Materials,A-61243,BOX,3360,7.843,26353.82,IF,Posted
01/22/2025,ASM015303,Bill of Materials,AC-B8BK,BAG,840,12.496,10496.64,1,Posted
01/20/2025,ASM015304,Bill of Materials,A-61280,BAG,2881,11.614,33460.31,U,Posted
01/24/2025,ASM015315,Bill of Materials,AC-B8BK,BAG,840,12.496,10496.64,1,Posted
01/24/2025,ASM015319,Bill of Materials,AC-B8BK,BAG,240,15.885,3812.4,2,Posted
01/28/2025,ASM015320,Bill of Materials,AC-B6SLJ,BAG,240,22.424,5381.68,1,Posted
01/30/2025,ASM015324,Bill of Materials,AC-B6SLJ,BAG,240,22.31,5354.34,1,Posted
01/31/2025,ASM015331,Bill of Materials,AC-B6SLJ,BAG,240,22.771,5465.04,1,Posted
03/27/2025,ASM015339,Bill of Materials,A-61012,BOX,2520,12.446,31363.41,1,Posted
02/05/2025,ASM015341,Bill of Materials,AC-B3SLJ,BAG,240,13.432,3223.56,1,Posted
02/03/2025,ASM015349,Bill of Materials,AC-B9SLE,BAG,2400,24.635,59123.72,1,Posted
02/11/2025,ASM015351,Bill of Materials,AC-B4BK,BAG,1200,6.686,8023.2,1,Posted
04/30/2025,ASM015353,Bill of Materials,AC-B3SLJ,BAG,240,13.127,3150.59,1,Posted
02/13/2025,ASM015360,Bill of Materials,AC-B4BK,BAG,500,6.896,3448,3,Posted
02/20/2025,ASM015361,Bill of Materials,AC-B16BK,BAG,1000,22.598,22598,3,Posted
02/13/2025,ASM015363,Bill of Materials,AC-B8BK,BAG,840,12.286,10320.24,1,Posted
02/18/2025,ASM015371,Bill of Materials,AC-B8BK,BAG,840,12.286,10320.24,1,Posted
02/13/2025,ASM015372,Bill of Materials,A-61280,BAG,2880,11.614,33448.94,U,Posted
02/18/2025,ASM015373,Bill of Materials,AC-B4BK,BAG,500,6.896,3448,3,Posted
03/03/2025,ASM015374,Bill of Materials,T-32224,CASE,1033,13.407,13849.43,1,Posted
02/21/2025,ASM015376,Bill of Materials,AC-B4BK,BAG,1200,6.744,8092.2,1,Posted
03/24/2025,ASM015380,Bill of Materials,F-04220,CASE,3851,7.699,29647.33,2,Posted
03/24/2025,ASM015380,Bill of Materials,F-04211,EACH,-92424,0.292,26951.63,2,Posted
02/18/2025,ASM015383,Bill of Materials,AC-B9SL,BAG,1920,24.73,47481.6,U,Posted
03/07/2025,ASM015384,Bill of Materials,T-32224,CASE,3425,13.337,45679.23,2,Posted
03/25/2025,ASM015385,Bill of Materials,F-04220,CASE,1566,7.639,11963.26,1,Posted
03/25/2025,ASM015385,Bill of Materials,F-04211,EACH,-37584,0.289,10851.4,1,Posted
02/19/2025,ASM015388,Bill of Materials,AC-B4BK,BAG,600,6.686,4011.6,1,Posted
02/20/2025,ASM015389,Bill of Materials,AC-B4BK,BAG,1200,6.721,8065.18,1,Posted
02/24/2025,ASM015395,Bill of Materials,AC-B4BK,BAG,1700,6.744,11463.95,1,Posted
02/26/2025,ASM015396,Bill of Materials,AC-B4BK,BAG,1700,6.744,11463.95,1,Posted
02/20/2025,ASM015397,Bill of Materials,AC-B4BK,BAG,3000,6.954,20862.14,3,Posted
02/21/2025,ASM015401,Bill of Materials,AC-B8BK,BAG,280,12.381,3466.68,2,Posted
02/25/2025,ASM015403,Bill of Materials,A-61220,BOX,-720,3.554,2558.67,1,Posted
02/26/2025,ASM015406,Bill of Materials,AC-B4BK,BAG,1360,6.744,9171.16,1,Posted
02/25/2025,ASM015407,Bill of Materials,A-61220,BOX,-477,3.622,1727.69,1,Posted
02/27/2025,ASM015410,Bill of Materials,AC-B16BK,BAG,400,21.99,8796,1,Posted
02/27/2025,ASM015414,Bill of Materials,AC-B6SLJ,BAG,240,23.289,5589.24,1,Posted
03/05/2025,ASM015424,Bill of Materials,A-61012,BOX,720,12.323,8872.56,1,Posted
03/04/2025,ASM015426,Bill of Materials,AC-B4BK,BAG,1360,6.836,9296.96,1,Posted
02/28/2025,ASM015432,Bill of Materials,A-61280,BAG,5761,11.611,66890.44,U,Posted
03/03/2025,ASM015434,Bill of Materials,AC-B6SLJ,BAG,240,22.816,5475.78,1,Posted
03/03/2025,ASM015436,Bill of Materials,AC-B3SLJ,BAG,480,12.916,6199.85,1,Posted
03/06/2025,ASM015439,Bill of Materials,AC-B4BK,BAG,255,6.956,1773.78,3,Posted
03/06/2025,ASM015440,Bill of Materials,AC-B4BK,BAG,1360,6.836,9296.96,1,Posted
03/06/2025,ASM015443,Bill of Materials,AC-B8BK,BAG,800,12.586,10068.8,1,Posted
03/10/2025,ASM015447,Bill of Materials,AC-B16BK,BAG,500,22.838,11419,3,Posted
03/11/2025,ASM015450,Bill of Materials,AC-B4BK,BAG,1360,6.836,9296.96,1,Posted
03/11/2025,ASM015452,Bill of Materials,AC-B6SLJ,BAG,480,22.253,10681.59,1,Posted
03/10/2025,ASM015455,Bill of Materials,AC-B3SLJ,BAG,168,12.736,2139.63,3,Posted
03/17/2025,ASM015456,Bill of Materials,AC-B6SLJ,BAG,500,21.651,10825.25,3,Posted
03/17/2025,ASM015457,Bill of Materials,AC-B8BK,BAG,1000,13.029,13029.22,3,Posted
03/12/2025,ASM015461,Bill of Materials,A-61012,BOX,-1410,12.372,17445.09,1,Posted
03/13/2025,ASM015462,Bill of Materials,AC-B3SLJ,BAG,480,12.753,6121.35,1,Posted
03/11/2025,ASM015463,Bill of Materials,AC-B16BK,BAG,400,22.36,8944,1,Posted
03/14/2025,ASM015465,Bill of Materials,AC-B16BK,BAG,400,22.36,8944,1,Posted
03/17/2025,ASM015466,Bill of Materials,AC-B3SLJ,BAG,480,12.753,6121.34,1,Posted
04/09/2025,ASM015476,Bill of Materials,AC-B16BK,BAG,2000,22.668,45335.79,3,Posted
03/24/2025,ASM015477,Bill of Materials,AC-B8BK,BAG,500,13.133,6566.5,3,Posted
04/22/2025,ASM015478,Bill of Materials,AC-B4BK,BAG,3000,7.008,21023.88,3,Posted
03/18/2025,ASM015480,Bill of Materials,AC-B16BK,BAG,400,22.519,9007.46,1,Posted
03/18/2025,ASM015482,Bill of Materials,A-61012,BOX,1332,12.499,16648.51,1,Posted
03/18/2025,ASM015485,Bill of Materials,AC-B3SLJ,BAG,480,12.916,6199.86,1,Posted
03/21/2025,ASM015488,Bill of Materials,AC-B3SLJ,BAG,300,12.706,3811.89,3,Posted
03/19/2025,ASM015490,Bill of Materials,AC-B16BK,BAG,400,22.54,9016,1,Posted
03/26/2025,ASM015491,Bill of Materials,AC-B8BK,BAG,1600,12.676,20281.6,1,Posted
03/21/2025,ASM015494,Bill of Materials,AC-B6SLJ,BAG,110,21.418,2355.98,3,Posted
03/21/2025,ASM015496,Bill of Materials,A-61012,BOX,1440,12.323,17745.12,1,Posted
04/02/2025,ASM015509,Bill of Materials,AC-B8BK,BAG,1600,12.676,20281.6,1,Posted
04/09/2025,ASM015512,Bill of Materials,A-61220,BOX,1920,3.453,6629.76,3,Posted
03/28/2025,ASM015516,Bill of Materials,AC-B6SLJ,BAG,480,21.522,10330.68,1,Posted
03/26/2025,ASM015517,Bill of Materials,A-61220,BOX,-208,3.622,753.38,3,Posted
04/04/2025,ASM015518,Bill of Materials,A-61220,BOX,-208,3.622,753.37,3,Posted
04/04/2025,ASM015519,Bill of Materials,T-32224,CASE,3763,13.684,51492.89,2,Posted
03/28/2025,ASM015522,Bill of Materials,A-61012,BOX,-504,12.499,6299.49,1,Posted
03/31/2025,ASM015523,Bill of Materials,A-61012,BOX,-1400,12.323,17252.2,1,Posted
03/28/2025,ASM015524,Bill of Materials,A-61012,BOX,1200,12.403,14883.6,1,Posted
03/31/2025,ASM015526,Bill of Materials,A-61012,BOX,-2000,12.446,24892,1,Posted
04/09/2025,ASM015531,Bill of Materials,A-61220,BOX,250,3.463,865.8,3,Posted
04/01/2025,ASM015533,Bill of Materials,AC-B6SLJ,BAG,480,21.847,10486.58,1,Posted
04/08/2025,ASM015534,Bill of Materials,T-32224,CASE,695,13.519,9395.8,1,Posted
04/01/2025,ASM015537,Bill of Materials,AC-B8BK,BAG,480,12.381,5942.88,2,Posted
04/03/2025,ASM015540,Bill of Materials,AC-B3SLJ,BAG,480,12.648,6070.81,1,Posted
04/09/2025,ASM015544,Bill of Materials,AC-B8BK,BAG,1600,12.346,19753.6,1,Posted
04/04/2025,ASM015546,Bill of Materials,AC-B3SLJ,BAG,480,12.822,6154.73,1,Posted
04/03/2025,ASM015550,Bill of Materials,AC-B6SLJ,BAG,-500,21.632,10816.16,3,Posted
04/25/2025,ASM015551,Bill of Materials,AC-B6SLJ,BAG,500,21.442,10720.75,3,Posted
04/08/2025,ASM015558,Bill of Materials,A-61220,BOX,4547,3.568,16225.31,1,Posted
04/07/2025,ASM015560,Bill of Materials,A-61220,BOX,-2000,3.622,7244,1,Posted
04/08/2025,ASM015564,Bill of Materials,AC-B3SLJ,BAG,482,12.846,6191.61,1,Posted
04/09/2025,ASM015568,Bill of Materials,AC-B3SLJ,BAG,480,12.856,6170.98,1,Posted
04/08/2025,ASM015571,Bill of Materials,A-61280,BAG,2883,11.608,33465.69,U,Posted
04/09/2025,ASM015572,Bill of Materials,AC-B6SLJ,BAG,-122,21.678,2644.72,3,Posted
04/15/2025,ASM015575,Bill of Materials,AC-B8BK,BAG,1600,12.506,20009.6,1,Posted
04/10/2025,ASM015577,Bill of Materials,A-61220,BOX,-2000,3.568,7136,1,Posted
04/11/2025,ASM015578,Bill of Materials,AC-B3SLJ,BAG,480,12.993,6236.87,1,Posted
04/11/2025,ASM015583,Bill of Materials,A-61220,BOX,-2000,3.568,7136,1,Posted
04/10/2025,ASM015584,Bill of Materials,AC-B6SLJ,BAG,100,21.418,2141.8,3,Posted
04/11/2025,ASM015585,Bill of Materials,A-61220,BOX,4000,3.593,14372,1,Posted
04/30/2025,ASM015586,Bill of Materials,T-32224,CASE,1060,14.246,15100.76,L,Posted
05/05/2025,ASM015587,Bill of Materials,T-32224,CASE,3398,13.532,45982.54,2,Posted
04/25/2025,ASM015589,Bill of Materials,A-61220,BOX,1920,3.453,6629.76,3,Posted
04/11/2025,ASM015592,Bill of Materials,AC-B6SLJ,BAG,-100,21.567,2156.73,3,Posted
04/17/2025,ASM015594,Bill of Materials,AC-B16BK,BAG,800,22.408,17926.1,1,Posted
04/11/2025,ASM015596,Bill of Materials,AC-B3SLJ,BAG,300,13.127,3938.23,1,Posted
04/15/2025,ASM015597,Bill of Materials,A-61220,BOX,-1280,3.593,4599.04,1,Posted
05/23/2025,ASM015600,Bill of Materials,T-32224,CASE,3631,14.229,51663.86,L,Posted
05/28/2025,ASM015601,Bill of Materials,F-04220,CASE,1391,9.028,12558.43,L,Posted
05/28/2025,ASM015601,Bill of Materials,F-04211,EACH,-33384,0.295,9848.28,L,Posted
04/16/2025,ASM015605,Bill of Materials,A-61220,BOX,-2720,3.593,9772.96,1,Posted
04/21/2025,ASM015606,Bill of Materials,AC-B6SLJ,BAG,-499,22.295,11124.98,2,Posted
04/17/2025,ASM015611,Bill of Materials,AC-B16BK,BAG,800,22.52,18016,1,Posted
04/18/2025,ASM015617,Bill of Materials,AC-B6SLJ,BAG,250,21.418,5354.5,3,Posted
04/18/2025,ASM015618,Bill of Materials,A-61243,BOX,1431,7.633,10922.48,1,Posted
04/28/2025,ASM015619,Bill of Materials,A-61243,BOX,1834,7.367,13511.63,1,Posted
04/21/2025,ASM015623,Bill of Materials,AC-B6SLJ,BAG,-200,21.418,4283.6,3,Posted
04/23/2025,ASM015624,Bill of Materials,A-61220,BOX,-240,3.463,831.05,3,Posted
04/21/2025,ASM015625,Bill of Materials,A-61012,BOX,-320,12.499,3999.68,3,Posted
05/19/2025,ASM015626,Bill of Materials,AC-B4BK,BAG,2000,6.849,13697,3,Posted
04/28/2025,ASM015628,Bill of Materials,AC-B16BK,BAG,1600,21.829,34926.86,1,Posted
04/24/2025,ASM015634,Bill of Materials,A-61260N,BOX,720,10.837,7802.82,IF,Posted
04/25/2025,ASM015635,Bill of Materials,AC-B4BK,BAG,1360,6.939,9436.36,1,Posted
04/21/2025,ASM015636,Bill of Materials,A-61260N,BOX,1800,10.73,19314,IF,Posted
04/23/2025,ASM015638,Bill of Materials,A-61260N,BOX,1800,11.27,20286,IF,Posted
04/29/2025,ASM015640,Bill of Materials,AC-B4BK,BAG,1360,6.761,9194.96,1,Posted
05/22/2025,ASM015641,Bill of Materials,AC-B6SLJ,BAG,100,22.682,2268.22,3,Posted
04/28/2025,ASM015643,Bill of Materials,AC-B6SLJ,BAG,-240,21.44,5145.53,3,Posted
04/24/2025,ASM015645,Bill of Materials,A-61260N,BOX,360,11.27,4057.2,IF,Posted
04/24/2025,ASM015647,Bill of Materials,A-61260N,BOX,864,11.469,9909.45,IF,Posted
05/01/2025,ASM015648,Bill of Materials,A-61260N,BOX,3450,11.337,39114.2,IF,Posted
05/01/2025,ASM015649,Bill of Materials,A-61260N,BOX,150,11.27,1690.5,IF,Posted
05/02/2025,ASM015653,Bill of Materials,AC-B8BK,BAG,1600,12.759,20414.98,1,Posted
05/01/2025,ASM015654,Bill of Materials,AC-B4BK,BAG,1360,7.066,9609.76,1,Posted
04/30/2025,ASM015655,Bill of Materials,A-61260N,BOX,3782,9.82,37138.61,1,Posted
05/01/2025,ASM015657,Bill of Materials,AC-B8BK,BAG,480,12.541,6019.68,2,Posted
05/01/2025,ASM015662,Bill of Materials,A-61260N,BOX,480,9.482,4551.36,3,Posted
05/02/2025,ASM015666,Bill of Materials,A-61243,BOX,1078,7.078,7630.51,1,Posted
05/06/2025,ASM015667,Bill of Materials,AC-B8BK,BAG,800,13.006,10404.8,1,Posted
05/09/2025,ASM015680,Bill of Materials,AC-B4BK,BAG,1360,7.066,9609.76,1,Posted
05/09/2025,ASM015681,Bill of Materials,AC-B8BK,BAG,500,12.571,6285.5,3,Posted
05/12/2025,ASM015683,Bill of Materials,AC-B8BK,BAG,500,12.561,6280.6,3,Posted
06/02/2025,ASM015684,Bill of Materials,AC-B16BK,BAG,1500,22.079,33118.42,3,Posted
05/23/2025,ASM015686,Bill of Materials,T-32224,CASE,4322,13.524,58448.89,2,Posted
05/16/2025,ASM015687,Bill of Materials,F-04220,CASE,4025,8.796,35401.9,2,Posted
05/16/2025,ASM015687,Bill of Materials,F-04211,EACH,-96600,0.289,27955.65,2,Posted
05/13/2025,ASM015688,Bill of Materials,A-61012,BOX,1200,12.453,14943.6,1,Posted
05/14/2025,ASM015696,Bill of Materials,AC-B16BK,BAG,800,22.914,18331.39,1,Posted
05/30/2025,ASM015698,Bill of Materials,AC-B6SLJ,BAG,-200,21.442,4288.4,3,Posted
05/19/2025,ASM015701,Bill of Materials,AC-B8BK,BAG,500,12.571,6285.5,3,Posted
05/13/2025,ASM015704,Bill of Materials,A-61243,BOX,3788,7.227,27375.83,1,Posted
05/16/2025,ASM015707,Bill of Materials,AC-B6SLJ,BAG,-100,21.847,2184.7,2,Posted
05/14/2025,ASM015708,Bill of Materials,A-61012,BOX,656,12.453,8169.17,1,Posted
05/15/2025,ASM015709,Bill of Materials,A-61243,BOX,480,7.181,3446.67,3,Posted
05/16/2025,ASM015713,Bill of Materials,AC-B4BK,BAG,798,6.939,5536.93,2,Posted
05/16/2025,ASM015715,Bill of Materials,A-61260N,BOX,1800,9.698,17456.4,1,Posted
06/11/2025,ASM015718,Bill of Materials,AC-B8BK,BAG,500,12.421,6210.5,3,Posted
05/21/2025,ASM015723,Bill of Materials,A-61260N,BOX,2526,9.736,24592.31,1,Posted
06/13/2025,ASM015724,Bill of Materials,AC-B8BK,BAG,100,12.421,1242.1,3,Posted
06/02/2025,ASM015725,Bill of Materials,A-61243,BOX,3560,7.999,28478.19,IF,Posted
06/02/2025,ASM015726,Bill of Materials,A-61243,BOX,760,7.997,6077.72,IF,Posted
05/22/2025,ASM015727,Bill of Materials,AC-B16BK,BAG,382,22.518,8601.87,2,Posted
06/05/2025,ASM015728,Bill of Materials,AC-B6SLJ,BAG,307,22.627,6946.51,3,Posted
05/22/2025,ASM015731,Bill of Materials,A-61012,BOX,1080,12.399,13391.23,1,Posted
